"Numer RSPO";Typ;Nazwa;Ulica;"Numer budynku";"Numer lokalu";"Kod pocztowy";Miejscowość;"Kod terytorialny ulica";"Kod terytorialny miejscowosc";"Kod terytorialny gmina";Telefon;Faks;E-mail;"Strona www";Województwo;Powiat;Gmina;REGON;NIP;"Publiczność status";"Kategoria uczniów";"Specyfika placówki";"Imię i nazwisko dyrektora";"Nazwa organu prowadzącego";"Typ organu prowadzącego";"Województwo organu prowadzącego";"Powiat organu prowadzącego";"Gmina organu prowadzącego";"Data założenia";"Data likwidacji";"Miejsce w strukturze";"Typ podmiotu nadrzędnego";"RSPO podmiotu nadrzędnego";"Nazwa podmiotu nadrzędnego"
4489;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ GASTRONOMICZNYCH IM. FEBRONII GAJEWSKIEJ-KARAMAĆ W GORZOWIE WLKP.";"ul. Okólna";"35 ";" ";"66-400 ";"Gorzów Wielkopolski";14890;0935140;0861011;"957225242 ";" ";zsg@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210203232 ";"5991113333 ";publiczna;"Bez kategorii";"brak specyfiki";"PAWEŁ CIERACH";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;zespół;;;
4485;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ ELEKTRYCZNYCH IM. MAJORA HENRYKA SUCHARSKIEGO W GORZOWIE WLKP.";"ul. gen. Jarosława Dąbrowskiego";"33 ";" ";"66-400 ";"Gorzów Wielkopolski";03676;0935140;0861011;"957223639 ";"957225941 ";zsel@edu.gorzow.pl;http://www.zsel.edu.gorzow.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210203249 ";"5991101784 ";publiczna;"Bez kategorii";"brak specyfiki";"Stanisław Jodko";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;zespół;;;
132170;Przedszkole;"NIEPUBLICZNE PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI ""CHATKA MAŁOLATKA""";"ul. Jana Dekerta";"93 ";" ";"66-400 ";"Gorzów Wielkopolski";03730;0935140;0861011;"724343434 ";" ";przedszkole.chatka@gmail.com;http://www.chatkamalolatka.edu.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"365491831 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"KAMILA LECH";"USŁUGI EDUKACYJNE CHATKA MAŁOLATKA  SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2016-09-01;;samodzielna;;;
4486;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ EKONOMICZNYCH IM. STEFANA STARZYŃSKIEGO W GORZOWIE WLKP.";"ul. 30 Stycznia";"29 ";" ";"66-400 ";"Gorzów Wielkopolski";21465;0935140;0861011;"957223595 ";" ";zsek@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210203226 ";"5990112969 ";publiczna;"Bez kategorii";"brak specyfiki";"Jarosław Kapelarz";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-01-01;;zespół;;;
61820;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 6 W GORZOWIE WLKP.";"ul. Michała Drzymały";"18 ";" ";"66-400 ";"Gorzów Wielkopolski";04317;0935140;0861011;"957224899 ";" ";p6@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080481744 ";"5993138136 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Ewa Bandkowska";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
57376;Przedszkole;"PRZEDSZKOLE MIEJSKIE NR 3 IM. KRASNALA HAŁABAŁY W GORZOWIE WLKP.";"ul. Słoneczna";"11 ";" ";"66-400 ";"Gorzów Wielkopolski";20254;0935140;0861011;"957223363 ";" ";p3@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080478742 ";"5993136841 ";publiczna;"Dzieci lub młodzież";"brak specyfiki";"Renata Maniukiewicz";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2010-05-26;;samodzielna;;;
12311;"Zespół szkół i placówek oświatowych";"ZESPÓŁ SZKÓŁ MISTRZOSTWA SPORTOWEGO W GORZOWIE WLKP.";"ul. Jana Stanisławskiego";"2 ";" ";"66-400 ";"Gorzów Wielkopolski";20834;0935140;0861011;"957224404 ";" ";zsspo@edu.gorzow.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"080023289 ";"5992919512 ";publiczna;"Bez kategorii";"brak specyfiki";"Katarzyna Piechota";"MIASTO GORZÓW WIELKOPOLSKI";"Miasto na prawach powiatu";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2005-03-09;;zespół;;;
266379;"Niepubliczna placówka kształcenia ustawicznego i praktycznego";"CENTRUM KSZTAŁCENIA USTAWICZNEGO OŚRODEK SZKOLEŃ SPECJALNYCH ATEX";"ul. Kazimierza Wielkiego";"65 A ";" ";"66-400 ";"Gorzów Wielkopolski";08265;0935140;0861011;" ";" ";r.mruczyk@tlen.pl;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"369451700 ";"5993206079 ";niepubliczna;"Bez kategorii";"brak specyfiki";"ROBERT MRUCZYK";"ATEX SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"Spółki Handlowe";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2018-02-06;;samodzielna;;;
109803;"Szkoła podstawowa";"SZKOŁA PODSTAWOWA KATOLICKIEGO STOWARZYSZENIA WYCHOWAWCÓW";"ul. Józefa Chełmońskiego";"1 ";" ";"66-400 ";"Gorzów Wielkopolski";02706;0935140;0861011;"957213163 ";" ";sekretariat@spigksw.pl;http://www.spigksw.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"081112724 ";" ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Leszek Weichert";"KATOLICKIE STOWARZYSZENIE WYCHOWAWCÓW ODDZIAŁ W GORZOWIE WIELKOPOLSKIM";Stowarzyszenia;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1991-09-01;;samodzielna;;;
126970;"Szkoła podstawowa";"I SPOŁECZNA SZKOŁA PODSTAWOWA W GORZOWIE WLKP.";"ul. Kazimierza Wielkiego";"65 ";"A ";"66-400 ";"Gorzów Wielkopolski";08265;0935140;0861011;"957214952 ";" ";gorzow1ssp@onet.pl;http://www.1sspgorzow.edupage.org;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"360988768 ";"5993175982 ";niepubliczna;"Dzieci lub młodzież";"brak specyfiki";"Halina Antczak";"STOWARZYSZENIE PRZYJACIÓŁ KSZTAŁCENIA I WYCHOWANIA MŁODZIEŻY";Stowarzyszenia;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2015-01-19;;samodzielna;;;
29182;"Poradnia psychologiczno-pedagogiczna";"PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA NR 1 W GORZOWIE WLKP.";"ul. Józefa Pankiewicza";"5-7 ";" ";"66-400 ";"Gorzów Wielkopolski";15633;0935140;0861011;"957330468 ";"957330467 ";porpsychped1@powiatgorzowski.pl;http://www.ppp1.powiatgorzowski.pl;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"210240894 ";" ";publiczna;"Bez kategorii";"brak specyfiki";"Małgorzata Kobryń";"POWIAT GORZOWSKI";"Powiat ziemski";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";1994-12-02;;samodzielna;;;
267273;"Niepubliczna placówka kształcenia ustawicznego i praktycznego";"AKADEMIA MSP OCHRONY ZDROWIA I URODY";"ul. Dąbroszyńska";"60 ";" ";"66-400 ";"Gorzów Wielkopolski";03659;0935140;0861011;" ";" ";dyrektor@akademiamsp.eu;http://;LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski - gmina miejska";"380052413 ";"5991257368 ";niepubliczna;"Bez kategorii";"brak specyfiki";"DARIUSZ PILCH";"MONIKA SEKITA - PILCH";"Osoba fizyczna";LUBUSKIE;"Gorzów Wielkopolski";"Gorzów Wielkopolski";2006-09-25;;samodzielna;;;
